date,stockpx,iv30,iv60,iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
2017-03-14,139.23,14.55,22.05,21.35,13.73,3.0,16.19,38.0,21.94,66.0,21.41,94.0,2.418,0.04536,3.637,0.05107,8.72,9.85,14.68,19.6,19.61,9.49,10.69,15.15,19.28,20.72
2017-03-13,139.6,15.29,21.96,21.22,13.5,5.0,16.0,40.0,21.82,68.0,21.32,96.0,2.364,0.04471,3.642,0.0532,9.24,9.83,14.68,19.59,19.62,9.49,10.69,15.15,19.28,20.72
2017-03-10,139.04,15.27,22.62,21.97,13.19,8.0,16.5,43.0,22.48,71.0,22.12,99.0,2.405,0.05175,3.62,0.05106,9.47,9.62,15.32,19.58,19.69,10.19,10.6,15.6,19.34,20.74
2017-03-09,138.19,15.55,22.83,22.2,13.52,9.0,16.91,44.0,22.69,72.0,22.36,100.0,2.263,0.0467,3.501,0.05326,9.26,9.51,15.65,19.58,19.69,10.14,10.32,15.61,19.32,20.79
2017-03-08,137.7,15.82,22.84,22.13,14.09,10.0,17.11,45.0,22.68,73.0,22.33,101.0,2.257,0.05602,3.435,0.04478,9.5,11.33,15.68,19.59,19.74,10.77,10.73,15.61,19.33,20.81
2017-03-07,137.38,15.59,23.01,22.34,13.66,11.0,17.22,46.0,22.85,74.0,22.54,102.0,2.087,0.05489,3.354,0.04644,12.94,11.29,15.73,19.59,19.74,12.89,10.87,15.75,19.36,20.9
2017-03-06,137.62,16.03,23.06,22.41,14.4,12.0,17.57,47.0,22.9,75.0,22.61,103.0,2.0,0.05757,3.359,0.05096,12.95,11.73,15.75,19.63,19.91,12.62,11.09,15.75,19.38,20.97
2017-03-03,137.1,15.7,23.17,22.37,14.2,15.0,17.71,50.0,22.95,78.0,22.61,106.0,1.961,0.0526,3.254,0.04761,12.97,11.71,15.75,19.71,19.94,12.56,11.44,15.79,19.57,21.0
2017-03-02,136.55,17.0,23.58,22.73,16.06,16.0,18.4,51.0,23.33,79.0,22.96,107.0,1.977,0.04634,3.399,0.04148,12.98,13.32,16.13,19.98,19.94,12.56,14.3,15.96,19.66,21.01
2017-03-01,137.38,16.94,23.52,22.47,16.16,17.0,18.26,52.0,23.18,80.0,22.71,108.0,1.994,0.05084,3.379,0.04707,12.85,15.36,16.12,19.99,19.93,12.31,15.11,16.13,19.65,21.02
2017-02-28,135.74,18.03,24.05,23.09,17.53,18.0,19.0,53.0,23.73,81.0,23.3,109.0,1.817,0.038,3.393,0.05386,10.86,14.67,16.97,19.94,20.07,12.23,14.99,16.48,19.71,21.05
2017-02-27,136.23,17.56,23.73,22.71,17.01,19.0,18.76,54.0,23.38,82.0,22.94,110.0,1.879,0.0464,3.424,0.04861,10.39,14.85,17.37,20.24,20.08,11.77,15.37,16.72,19.82,21.07
2017-02-24,135.16,17.4,23.69,22.8,16.95,22.0,18.91,57.0,23.4,85.0,23.08,113.0,1.988,0.04757,3.541,0.04587,9.76,14.73,17.32,20.22,20.06,11.0,15.25,16.77,19.8,21.11
2017-02-23,135.2,17.79,23.92,22.82,17.45,23.0,19.14,58.0,23.52,86.0,23.09,114.0,1.955,0.04298,3.464,0.04424,9.76,15.13,17.32,20.22,20.09,10.5,15.18,16.88,19.77,21.16
2017-02-22,136.15,18.11,24.01,22.81,17.84,24.0,19.39,59.0,23.58,87.0,23.13,115.0,1.801,0.04535,3.496,0.04088,12.91,16.06,17.3,20.21,20.13,10.69,15.32,16.83,19.75,21.33
2017-02-21,133.52,17.45,18.78,22.5,17.23,25.0,18.78,60.0,23.2,88.0,22.84,116.0,1.848,0.04804,3.387,0.04641,9.36,14.82,16.95,20.06,20.12,8.39,14.53,16.61,19.66,21.33
2017-02-17,133.31,16.93,18.85,20.92,17.08,1.0,16.87,29.0,19.13,64.0,22.99,120.0,2.079,0.04836,3.433,0.0386,10.36,15.71,16.95,20.15,20.26,9.31,15.32,16.77,19.71,21.39
2017-02-16,133.43,16.86,18.77,20.77,13.24,2.0,16.86,30.0,19.1,65.0,22.85,121.0,2.063,0.05054,3.373,0.04699,10.3,15.75,18.82,20.18,20.29,10.19,15.53,17.16,19.73,21.48
2017-02-15,133.48,17.03,19.02,20.88,14.38,3.0,17.1,31.0,19.39,66.0,22.87,122.0,1.975,0.05202,3.255,0.04905,13.65,15.75,18.84,20.19,20.36,15.85,15.5,17.45,19.74,21.62
2017-02-14,133.74,17.17,19.08,20.93,15.21,4.0,17.3,32.0,19.51,67.0,22.97,123.0,1.884,0.05709,3.336,0.04691,17.52,15.71,18.99,20.22,20.67,17.46,15.63,17.54,19.77,21.75
2017-02-13,134.05,17.69,19.69,21.34,16.71,5.0,17.88,33.0,20.13,68.0,23.21,124.0,1.979,0.05128,3.411,0.04744,17.68,15.77,19.08,20.22,20.67,17.31,15.55,18.38,19.77,21.94
2017-02-10,134.27,17.16,19.28,20.97,14.26,8.0,17.56,36.0,19.9,71.0,23.04,127.0,2.146,0.05066,3.546,0.04304,18.26,16.46,19.56,20.23,20.67,18.27,15.99,18.67,19.83,22.08
2017-02-09,134.18,18.54,20.14,21.7,16.32,9.0,18.91,37.0,20.76,72.0,23.67,128.0,2.282,0.04186,3.293,0.04464,18.4,16.53,20.79,20.24,20.69,18.56,16.47,19.44,19.84,22.22
